"report_date","ticker","rsi_1","rsi_2","rsi_3","rsi_4","rsi_5","rsi_6","rsi_7","rsi_8","rsi_9","rsi_10","rsi_11","rsi_12","rsi_13","rsi_14","rsi_15","rsi_16","rsi_17","rsi_18","rsi_19","rsi_20","sma_10","sma_20","sma_50","sma_200","ema_10","ema_20","ema_50","ema_200","macd_12_26_9_line","macd_12_26_9_signal","macd_12_26_9_histogram","rv_10","rv_20","rv_30","rv_60","hls_10","hls_20","obv"
2012-10-03,AAPL,100.0,100.0,61.001404,35.480984,56.25374,48.213337,37.23262,33.16086,34.235786,32.939976,33.081528,34.628304,40.149014,44.70857,50.67953,54.13429,53.262417,47.026917,48.448753,50.37793,88.0737,88.45761,84.93023,73.77818,87.60565,87.68669,85.29813,74.35696,0.39190453,1.0349776,-0.6430731,26.308353,23.703205,21.228848,21.768997,0.92972106,0.86146563,34128960600
2012-10-04,AAPL,0.0,68.55987,72.17237,49.38568,31.211151,51.478653,44.662636,35.07898,31.441631,32.487915,31.318783,31.456635,32.964863,38.376057,42.878513,48.820873,52.283245,51.46953,45.62372,47.040806,87.65863,88.396,85.1756,73.96439,87.45212,87.59855,85.35551,74.48038,0.28580457,0.885143,-0.5993384,26.046417,23.678436,21.143028,21.724457,0.87526286,0.830084,34036279200
2012-10-05,AAPL,0.0,0.0,34.965523,39.003872,31.219223,22.819279,40.875504,36.457653,29.809721,27.141485,28.10333,27.224207,27.351213,28.745152,33.813065,38.111256,43.900703,47.33688,46.66886,41.811237,87.04058,88.21481,85.38422,74.132454,86.99033,87.34271,85.33812,74.58418,0.05192669,0.7184997,-0.66657305,27.167204,23.01393,22.091398,22.184675,0.8849388,0.80558825,33887777700
2012-10-08,AAPL,0.0,0.0,0.0,23.353296,26.59902,22.733248,17.927738,33.80891,30.728998,25.866814,23.833677,24.71807,24.035412,24.15248,25.440481,30.172478,34.24735,39.827564,43.190376,42.63358,86.35591,88.05497,85.52868,74.29082,86.27136,86.932556,85.24784,74.668274,-0.28157654,0.5184845,-0.800061,26.55753,24.311125,22.191692,22.714273,0.80326736,0.81694776,33728279200
2012-10-09,AAPL,0.0,0.0,0.0,0.0,22.168781,25.304226,21.780724,17.330061,32.893982,29.971304,25.327824,23.375336,24.248137,23.590843,23.70642,24.97847,29.658714,33.697685,39.24179,42.59015,85.86551,87.89401,85.641525,74.44631,85.628235,86.53271,85.14927,74.748535,-0.5637401,0.30203956,-0.86577964,26.287098,23.557722,22.196083,22.733253,0.9925012,0.8844262,33518629900
2012-10-10,AAPL,100.0,68.5636,23.210968,14.051625,12.444641,29.921247,32.473423,28.330263,22.933664,36.633995,33.545124,28.573874,26.45982,27.264135,26.553745,26.66054,27.836748,32.177475,35.940105,41.130215,85.54972,87.70612,85.726776,74.602,85.22174,86.23364,85.080376,74.83454,-0.72586334,0.09645898,-0.82232237,21.681236,22.37548,22.390156,22.775831,0.9936897,0.81001014,33646218900
2012-10-11,AAPL,0.0,28.315533,25.061838,14.620015,10.364579,9.463229,23.895594,26.125408,23.375168,19.574635,32.104244,29.707026,25.74103,24.012701,24.767681,24.180027,24.280432,25.387983,29.502975,33.105522,84.85724,87.34909,85.78893,74.74728,84.586105,85.80431,84.94882,74.903114,-0.977574,-0.118347615,-0.85922635,21.498253,22.34716,22.749817,23.0433,0.676131,0.7491745,33509698600
2012-10-12,AAPL,100.0,11.16516,34.240242,30.596325,18.41525,13.226265,12.109671,25.774305,27.896925,25.023365,21.028397,33.14325,30.703531,26.654945,24.885817,25.62363,25.022423,25.120611,26.203896,30.23181,84.370735,86.948524,85.85274,74.89612,84.104126,85.43583,84.83064,74.97308,-1.1469313,-0.32406434,-0.822867,21.781742,21.565481,22.758121,22.771063,0.7414072,0.75979656,33624702300
2012-10-15,AAPL,100.0,100.0,34.206497,47.778202,43.64988,28.39835,21.124731,19.491108,31.10858,32.94084,29.762184,25.265606,36.20534,33.65368,29.381021,27.498795,28.186405,27.547338,27.639029,28.651163,84.05026,86.52552,85.90919,75.046646,83.829254,85.16502,84.74287,75.0489,-1.2141314,-0.50207776,-0.7120536,22.524498,21.91398,22.412954,22.817173,0.8722676,0.8100223,33732827800
2012-10-16,AAPL,100.0,100.0,100.0,62.869545,67.618774,63.872936,47.51331,37.937878,35.59074,43.24736,44.496666,40.882736,35.55656,43.85825,41.11484,36.414833,34.30087,34.866013,34.14751,34.223267,83.90037,86.18644,85.987,75.20703,83.95992,85.106255,84.73522,75.14342,-1.0969392,-0.62105006,-0.47588918,25.061163,24.232656,23.577353,23.249992,1.0062121,0.9194968,33870270700
